127.0.0.1 - - [22/Apr/2015:21:39:13 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:48:40 -0500] "GET /unayoe-web/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:48:40 -0500] "GET /unayoe-web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:48:40 -0500] "GET /unayoe-web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:48:40 -0500] "GET /unayoe-web/javax.faces.resource/layout/layout.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:48:40 -0500] "GET /unayoe-web/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:48:40 -0500] "GET /unayoe-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-redmond HTTP/1.1" 200 20264
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:48:40 -0500] "GET /unayoe-web/javax.faces.resource/images/ui-bg_inset-hard_100_fcfdfd_1x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:48:40 -0500] "GET /unayoe-web/javax.faces.resource/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:34 -0500] "POST /unayoe-web/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:34 -0500] "GET /unayoe-web/login.xhtml HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:34 -0500] "GET /unayoe-web/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:34 -0500] "GET /unayoe-web/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:34 -0500] "GET /unayoe-web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:34 -0500] "GET /unayoe-web/javax.faces.resource/layout/layout.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:34 -0500] "GET /unayoe-web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:34 -0500] "GET /unayoe-web/javax.faces.resource/layout/layout.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:34 -0500] "GET /unayoe-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-redmond HTTP/1.1" 200 20264
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:34 -0500] "GET /unayoe-web/javax.faces.resource/images/ui-bg_inset-hard_100_fcfdfd_1x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:35 -0500] "GET /unayoe-web/javax.faces.resource/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:44 -0500] "POST /unayoe-web/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:44 -0500] "GET /unayoe-web/login.xhtml HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:44 -0500] "GET /unayoe-web/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:44 -0500] "GET /unayoe-web/javax.faces.resource/layout/layout.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:49:44 -0500] "GET /unayoe-web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
